<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<LAST>,<VOL>
13920513,470.8,486,461,468.24,28993559
13920514,473.36,489,462,473.48,13313812
13920515,478.86,500,474,494.47,64073713
13920516,509.05,523,506,512.5,52191631
13920520,530.93,542,527,528.37,19081563
13920521,521.97,531,510,511.74,24793423
13920522,513.14,516,498,503.29,16165177
13920523,497.66,528,495,516.73,17796565
13920526,534.76,545,512,513.4,13105539
13920527,515.83,516,499,499.33,11723596
13920528,503.04,518,496,503.93,9937091
13920529,507.9,508,489,495.62,4390453
13920530,497.02,515,493,505.34,10403039
13920602,515.57,527,512,517.88,10117120
13920603,519.41,525,504,504.96,4423134
13920604,505.34,509,489,498.3,8766775
13920605,493.83,504,472,471.95,10455124
13920606,458.52,465,459,458.52,28676781
13920609,473.36,482,467,482.44,12823461
13920610,493.83,504,490,503.93,19079693
13920612,516.85,528,507,511.61,24894777
13920613,491.65,492,492,491.65,3861215
13920616,472.08,485,470,484.1,9162236
13920617,486.15,498,486,497.92,7314689
13920618,514.17,515,483,486.28,7570988
13920619,511.48,523,511,522.99,8922187
13920620,546.15,546,530,536.94,29180365
13920623,537.32,539,516,528.62,8714444
13920624,525.94,535,513,516.85,8576641
13920625,511.99,532,512,529.65,8676463
13920626,531.57,540,521,523.25,10466342
13920627,533.49,540,525,534.38,7773170
13920630,538.73,541,520,519.67,46087959
13920631,516.85,517,502,509.18,7033758
13920701,515.45,531,511,521.46,6542002
13920702,507.77,518,505,506.62,5462597
13920703,511.74,514,505,511.74,9434099
13920706,523.12,523,503,504.06,9871349
13920707,505.21,512,499,511.61,9013650
13920708,504.19,525,501,518.77,12871542
13920709,523.25,535,509,527.09,14255300
13920710,528.37,532,516,518.01,7816860
13920713,512.38,527,512,519.92,5022256
13920714,518.13,519,511,514.17,8254225
13920715,511.74,514,504,508.28,5183173
13920716,504.32,515,504,506.24,4219098
13920717,509.05,511,496,508.15,20056032
13920720,511.86,526,499,525.94,19513646
13920721,534.51,543,521,524.53,15083461
13920722,523.12,528,516,518.13,10979356
13920723,515.96,542,516,529.65,10230475
13920727,529.65,543,512,517.24,13352009
13920728,515.83,516,502,505.21,7782459
13920729,505.34,513,499,504.06,8601563
13920730,503.42,510,494,505.34,5023080
13920801,504.06,517,502,516.85,6464234
13920804,509.18,525,499,499.2,3973187
13920805,502.91,508,494,495.11,3672484
13920806,497.66,498,480,492.55,3761975
13920807,493.83,502,488,489.99,2487181
13920808,497.66,505,480,486.15,9059464
13920811,494.08,499,481,482.7,4884514
13920812,490.63,491,483,483.59,4497066
13920813,481.67,491,481,486.15,3484867
13920814,488.84,495,479,483.59,6154608
13920815,486.15,486,481,486.15,6038293
13920818,491.27,499,473,475.92,6415663
13920819,476.04,486,476,481.03,3172952
13920820,477.19,477,461,473.48,7546089
13920821,470.16,490,470,484.61,3876369
13920825,487.56,502,477,499.07,6987230
13920826,502.78,503,481,482.31,3898302
13920827,486.15,486,473,484.74,7507026
13920828,484.61,493,478,483.59,3964348
13920829,482.95,488,481,482.95,4200508
13920902,486.15,494,481,483.08,4301627
13920903,491.27,499,481,487.43,5700102
13920904,497.41,497,471,478.73,8821585
13920905,479.88,480,471,472.84,5116493
13920906,476.04,482,470,470.16,5800892
13920909,470.93,475,467,469.52,4360379
13920910,473.36,495,473,494.85,27806088
13920911,494.85,510,486,490.76,8548281
13920912,497.28,499,476,481.03,3519095
13920913,475.92,484,471,473.36,3555738
13920916,473.61,480,470,472.08,5914888
13920917,473.48,482,470,474,10626668
13920918,484.87,492,476,488.84,6686806
13920919,497.66,508,493,507.51,9466381
13920920,531.69,532,518,531.69,56122849
13920923,531.44,558,531,557.92,36128613
13920924,578.52,579,576,578.52,31043531
13920925,606.41,607,550,575.96,52027957
13920926,575.7,581,559,561.63,21994426
13920927,556.51,578,549,550.88,28078149
13920930,560.86,576,549,566.88,14776666
13921001,575.7,576,557,563.81,13734179
13921003,571.74,592,563,591.82,39354085
13921004,616.64,620,604,619.97,39132021
13921007,626.88,627,601,608.2,20408168
13921008,603.85,605,595,601.29,15534867
13921009,605.13,612,591,591.06,11104250
13921011,595.28,600,586,585.94,9217634
13921014,594.89,595,573,575.7,22060899
13921015,588.37,588,573,575.58,9505165
13921016,584.53,604,585,595.53,10948666
13921017,601.16,601,576,579.54,7317599
13921018,588.24,588,557,563.17,8723241
13921021,570.59,571,557,559.46,9176967
13921022,557.79,569,534,542.44,9848393
13921023,562.91,566,561,565.98,3256977
13921024,575.7,587,557,565.6,7554019
13921025,573.78,574,544,569.31,1993602
13921028,587.09,587,567,575.58,8088737
13921030,578.26,588,554,565.47,3491076
13921101,581.72,587,553,558.69,2462888
13921102,559.58,571,544,555.23,3023315
13921105,559.07,569,559,566.75,661133
13921106,550.24,563,535,534.89,2497324
13921107,515.96,532,510,528.37,7380521
13921108,527.09,537,527,537.45,3478532
13921109,553.96,563,549,563.42,2665589
13921112,575.58,586,573,585.68,5570254
13921113,586.58,590,563,579.54,5409629
13921114,574.42,587,558,581.46,2255450
13921115,581.97,582,568,573.15,2711029
13921116,553.96,574,545,545.13,2608448
13921119,530.03,537,520,523.25,3630474
13921120,518.13,543,518,537.32,1312048
13921121,542.44,554,511,511.74,2573186
13921123,499.46,512,494,493.7,1838948
13921126,483.72,519,484,514.3,1945519
13921127,527.22,537,527,536.81,753329
13921128,561.12,561,525,559.71,4332519
13921129,555.23,565,541,551.65,3324017
13921130,550.24,574,550,564.7,2446008
13921203,562.91,585,558,575.96,4840612
13921204,563.17,574,552,559.58,1530643
13921205,550.24,550,537,545.51,2830702
13921206,537.45,542,527,532.97,2229028
13921207,528.5,550,522,535.15,1527686
13921210,547.3,552,537,543.72,911279
13921211,537.32,537,525,528.88,888677
13921212,525.43,525,509,513.02,1083207
13921213,523.25,530,512,525.55,1388510
13921214,533.36,548,526,537.58,2211680
13921217,537.32,544,519,526.58,1124223
13921218,523.25,523,512,514.68,1296010
13921219,514.55,515,510,511.86,1433349
13921220,511.74,518,505,509.56,1305696
13921221,501.5,535,502,523.25,1859634
13921224,533.61,541,525,524.53,3145160
13921225,532.85,548,522,531.82,4506408
13921226,543.72,555,532,545.13,3759304
13921227,543.72,549,533,538.6,1792464
13921228,531.05,543,531,535.92,1667214
13930105,532.33,543,525,524.53,713679
13930106,538.6,539,524,524.91,523538
13930109,524.91,525,520,524.53,457478
13930110,536.17,536,526,530.93,535183
13930111,534.13,536,519,530.93,3377097
13930116,524.53,533,512,528.24,1323156
13930117,520.69,522,512,513.91,1931549
13930118,511.74,518,502,505.47,3390037
13930119,502.91,521,503,505.34,1972524
13930120,511.74,512,500,510.33,952097
13930123,511.74,518,505,511.74,1475007
13930124,511.61,513,489,498.94,2819463
13930125,496.38,499,481,488.71,2920732
13930126,492.55,514,486,513.53,2921723
13930127,522.99,524,510,510.33,2124527
13930130,511.74,512,493,494.34,944216
13930131,511.99,518,505,511.74,1942556
13930201,510.59,537,509,536.94,7646797
13930202,537.32,553,519,519.41,3974066
13930203,533.23,537,522,534.64,3598053
13930206,535.15,561,535,561.12,8025285
13930207,561.63,562,540,541.29,5046219
13930208,547.17,557,531,546.41,3978155
13930209,551.14,551,525,528.88,2846924
13930210,528.24,548,528,539.88,1629054
13930213,539.88,544,532,533.61,1404608
13930214,537.2,540,522,532.46,2692953
13930215,537.2,544,521,533.49,1938655
13930216,537.2,539,530,535.66,1866178
13930217,543.34,543,528,530.8,2382943
13930220,536.04,536,525,528.37,2227040
13930221,525.94,533,525,529.26,1194698
13930222,530.93,531,514,524.53,2618377
13930224,518.13,527,516,524.4,2652794
13930227,515.57,518,500,500.22,2503754
13930228,511.74,522,507,508.41,2232392
13930229,506.88,514,505,505.34,2781035
13930230,510.46,514,507,511.74,2325249
13930231,518.01,521,510,520.69,5852870
13930303,521.97,523,507,507,1277203
13930304,505.72,512,502,504.32,2176405
13930305,505.21,513,502,503.17,1593981
13930307,507.9,508,495,503.42,1268907
13930310,498.94,500,493,497.66,1832054
13930311,497.66,498,473,482.18,4805126
13930312,483.59,494,476,492.55,1455729
13930313,482.7,503,483,501.5,1300706
13930317,503.93,504,493,492.55,830394
13930318,488.84,499,489,495.11,1523371
13930319,487.43,495,486,495.11,779625
13930320,486.15,499,482,484.87,1728263
13930321,486.15,488,474,474.12,1050671
13930324,473.61,474,456,455.83,1801328
13930325,443.93,455,435,451.61,1991922
13930326,447.77,461,448,461.46,1319087
13930327,461.84,468,445,445.98,280860
13930328,455.45,461,442,453.01,664044
13930331,450.33,461,444,445.98,1491360
13930401,455.45,458,442,442.65,816465
13930402,451.61,452,437,437.53,371600
13930403,436.77,439,418,419.37,1709722
13930404,419.37,428,402,406.83,2037301
13930407,407.73,408,387,387.38,1200633
13930408,382.27,382,371,370.63,897700
13930409,358.34,377,353,365.25,2587749
13930410,367.04,375,358,374.59,770980
13930411,390.58,391,391,390.58,105033
13930414,410.03,410,410,410.03,277246
13930415,430.5,430,403,414.51,5110329
13930416,409.39,430,402,409.39,1823274
13930417,411.95,438,412,438.17,2526427
13930418,435.1,439,422,423.08,1729904
13930421,428.45,434,411,418.6,1581536
13930422,411.31,422,402,406.83,2368963
13930423,386.36,424,386,405.04,4696199
13930431,430.5,441,418,428.32,1319631
13930501,422.18,422,409,411.95,1071302
13930504,418.34,418,401,408.88,928716
13930505,410.67,416,404,410.8,1693293
13930506,405.68,416,403,409.77,956929
13930511,408.24,415,390,390.2,917712
13930512,394.04,399,388,388.79,591277
13930513,393.65,401,391,394.04,759373
13930514,387.64,390,381,387.9,1861782
13930515,383.8,391,377,391.35,633762
13930518,389.05,394,384,392.76,440276
13930519,393.65,394,375,377.41,720320
13930520,383.93,391,384,390.46,614910
13930521,386.36,388,383,386.36,532108
13930522,377.92,389,378,383.67,750986
13930525,383.8,385,381,383.8,363052
13930526,377.41,384,377,383.8,816046
13930527,387.64,388,379,383.67,408460
13930528,383.8,389,377,388.79,1038461
13930529,382.65,393,383,384.31,646524
13930601,390.07,390,381,381.24,893202
13930602,383.8,384,377,377.41,498780
13930603,377.41,381,376,379.07,252455
13930604,372.67,378,373,374.85,841084
13930605,373.57,374,366,369.86,1464527
13930608,359.75,373,360,364.36,808190
13930609,364.61,370,360,366.02,1253658
13930610,368.45,368,358,361.67,491380
13930611,365.38,365,356,355.66,830828
13930612,358.22,362,353,353.1,1019318
13930615,357.96,374,358,373.7,5698636
13930616,367.17,377,358,365.89,965162
13930617,372.93,377,358,362.05,1326358
13930618,362.18,371,359,360.77,18631361
13930619,359.62,363,353,358.09,1775414
13930622,356.94,358,340,344.27,808497
13930623,347.85,348,334,339.03,731846
13930624,335.19,345,335,339.67,872022
13930625,336.59,337,331,336.34,1267691
13930626,334.29,339,326,326.23,1481366
13930629,328.28,336,328,332.37,443653
13930630,335.19,337,326,329.17,1612728
13930631,332.63,333,326,328.92,1337600
13930701,332.63,333,327,327.26,523091
13930702,332.5,339,329,332.63,1336909
13930705,333.91,334,323,327.51,426299
13930706,325.08,333,324,333.01,816674
13930707,330.33,347,330,346.83,4913274
13930708,350.03,359,340,346.7,1666105
13930709,349.13,349,339,342.22,563062
13930712,347.98,348,342,342.86,584815
13930714,342.86,344,336,338.9,515367
13930715,341.33,343,328,331.99,2307571
13930716,327.64,333,328,330.33,953693
13930719,332.37,336,328,335.96,1151846
13930720,336.59,340,333,333.27,839144
13930722,332.76,338,333,336.47,944428
13930723,335.32,335,333,333.91,990838
13930726,333.14,337,333,333.91,941541
13930727,333.91,351,334,351.18,2984628
13930728,366.15,366,357,366.4,8145118
13930729,369.73,381,366,371.65,2923366
13930730,364.61,365,354,357.32,2545431
13930803,350.67,361,347,351.31,1098318
13930804,348.49,357,348,356.17,888425
13930805,354.38,370,354,363.33,1240012
13930806,357.19,365,348,351.56,977634
13930807,347.98,361,346,360.01,1160817
13930810,358.22,375,358,371.01,6277216
13930811,377.79,392,366,391.61,6854596
13930814,383.93,394,384,390.2,2377927
13930817,394.8,395,371,373.57,3530290
13930818,372.29,375,370,372.93,857160
13930819,372.8,385,373,379.96,2188228
13930820,374.85,382,371,372.29,1434153
13930821,371.78,380,369,371.9,1199336
13930824,371.01,371,353,353.35,1573216
13930825,356.68,365,355,357.7,1917483
13930826,360.52,361,352,351.95,1669957
13930827,350.67,358,340,340.3,2401408
13930828,340.56,351,339,341.58,1203644
13930901,343.89,344,333,336.34,2493453
13930902,339.03,348,336,337.87,3082602
13930903,346.57,355,343,347.21,3477641
13930904,331.48,341,331,331.48,1895956
13930905,326.36,339,326,335.06,1633648
13930908,336.47,340,320,320.48,2101165
13930909,325.21,332,313,321.24,1716581
13930910,319.71,322,306,316.64,870905
13930911,318.3,320,302,304.23,1583658
13930912,304.48,310,300,304.1,1736601
13930915,305.25,313,294,298.09,1554474
13930916,296.81,301,286,287.85,2400668
13930917,291.69,300,285,297.45,3573814
13930918,300.65,301,292,296.17,1291641
13931003,280.05,280,262,273.78,1369816
13931006,268.92,274,260,266.1,4786829
13931007,264.95,274,265,272.5,2173189
13931008,276.21,276,265,265.08,1343346
13931009,264.18,265,258,259.71,1165062
13931010,257.66,258,251,251.39,873780
13931013,253.82,262,249,249.47,694600
13931014,253.57,254,244,245.38,1162847
13931015,243.07,243,240,240.52,1163813
13931016,240.52,241,233,232.84,1199475
13931017,229.77,234,226,228.11,966870
13931020,225.16,226,218,217.74,1255766
13931021,217.49,217,208,214.93,1857296
13931022,215.19,221,215,221.07,1828545
13931023,225.04,225,210,210.58,3206579
13931024,212.37,214,205,204.95,1950658
13931027,208.79,218,209,218,3529934
13931028,223.37,223,209,214.42,1061961
13931029,213.14,216,205,208.53,882593
13931030,198.3,205,198,201.37,4082816
13931101,197.02,197,189,191.9,1109504
13931104,191.9,196,186,194.46,654378
13931105,192.03,200,188,188.06,830489
13931106,192.67,193,189,193.18,550697
13931107,192.54,200,193,200.47,848920
13931108,202.14,208,202,208.28,4119644
13931111,212.24,218,212,218.26,1050907
13931112,229,229,225,229,4689055
13931113,231.43,238,219,222.73,1393423
13931114,219.15,230,219,222.22,1019741
13931115,226.57,235,227,232.07,2185615
13931118,227.72,244,225,244.1,2759414
13931119,250.37,250,231,230.79,2639706
13931120,233.86,237,227,226.83,813369
13931121,226.06,226,217,220.05,1491316
13931125,219.41,230,219,223.63,557584
13931126,222.48,222,215,216.21,848693
13931127,218.77,222,213,215.31,594537
13931128,217.49,217,209,213.65,1266725
13931129,214.29,215,205,207.25,1081632
13931202,205.97,211,202,202.14,2484264
13931203,199.58,201,195,194.59,7005763
13931224,187.42,195,187,193.82,4022911
13931225,193.18,198,190,198.17,4381661
13931226,198.43,199,193,193.44,1244995
13931227,194.59,206,195,205.59,2185557
13940105,209.68,216,209,214.93,1909399
13940108,216.21,222,209,217.49,1417958
13940109,222.61,225,217,218.77,2603886
13940110,211.73,222,210,209.56,4163531
13940111,206.61,214,205,205.97,762314
13940115,218.77,219,219,218.77,23916
13940116,229.64,230,230,229.64,352317
13940117,239.24,239,219,220.05,5721574
13940118,216.34,226,216,215.57,2179957
13940119,213.52,225,214,217.87,1235714
13940122,217.62,218,208,208.53,1584166
13940123,207.38,207,200,200.6,1583743
13940124,202.14,207,195,204.69,1938501
13940125,208.53,210,203,203.42,1185828
13940126,207.25,207,198,202.14,1538593
13940129,196.38,212,196,211.99,5065925
13940130,218.38,218,218,218.38,700128
13940131,229.26,229,225,229,26105323
13940201,230.28,237,220,222.61,4265863
13940202,222.48,225,217,223.88,3721396
13940205,223.88,232,224,231.69,17938261
13940206,239.24,243,235,242.95,15905379
13940207,244.99,252,233,245.51,11038697
13940208,244.35,256,241,243.46,5277101
13940209,248.32,249,237,241.16,2994101
13940213,245.25,245,231,230.92,3277948
13940214,229.64,234,222,221.71,3369366
13940215,213.14,224,211,211.48,3384297
13940216,211.09,226,211,226.19,1778305
13940219,233.1,233,217,216.85,3835827
13940220,221.33,222,215,215.31,2513906
13940221,216.21,225,215,220.05,1502053
13940222,224.78,227,220,221.33,1172820
13940223,220.05,226,218,221.07,1190367
13940227,223.88,224,210,212.37,1419694
13940228,212.88,222,213,217.49,955829
13940229,218.77,223,215,215.31,1007216
13940230,217.49,222,216,216.21,1051483
13940302,217.49,230,216,230.28,6786463
13940303,237.96,240,233,239.88,7691292
13940318,244.87,255,244,252.16,21791052
13940319,255.87,261,243,245.12,9266735
13940320,246.53,252,240,249.47,4194321
13940323,252.03,255,247,249.73,3952862
13940324,248.32,253,241,241.67,2807684
13940325,244.23,247,237,241.54,1646439
13940326,239.36,255,239,254.21,4970161
13940327,255.74,264,253,262.52,13550573
13940330,264.82,272,260,262.27,4935219
13940331,263.54,271,256,264.31,3395374
13940401,265.46,278,264,278.13,10503635
13940402,287.85,291,288,290.92,24869331
