<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<LAST>,<CLOSE>,<VOL>
13911005,427.17,428,394,410.54,416.17,68613268
13911006,407.98,437,404,436.90,432.80,68309330
13911101,382.14,408,372,404.14,396.72,29309695
13911102,404.27,417,403,409.13,413.10,24820668
13911103,406.83,412,393,402.99,394.42,18755213
13911104,411.95,414,407,414.12,413.74,15294357
13911107,431.01,434,418,419.24,427.56,15550401
13911108,416.43,418,406,406.19,407.60,18493492
13911109,389.82,411,390,407.85,402.10,12237691
13911111,407.60,408,391,394.55,395.83,6720661
13911114,396.98,412,391,392.76,397.11,13076670
13911115,399.03,409,391,406.19,399.28,15607001
13911116,394.42,402,385,387.64,390.71,15846789
13911117,385.98,402,385,390.20,391.99,7244134
13911118,393.14,411,393,406.32,405.04,67838913
13911121,406.96,409,394,397.88,399.03,7108714
13911123,400.43,419,395,415.66,409.39,21506959
13911124,419.62,422,399,400.43,408.75,7768579
13911125,400.69,403,395,396.60,398.00,6320902
13911128,404.27,411,400,408.11,406.96,7409507
13911129,419.62,427,412,427.30,426.15,79807636
13911130,446.62,447,442,447.39,447.26,44385314
13911209,483.59,484,461,461.71,470.29,77752961
13911212,453.53,466,447,446.87,447.77,43581784
13911213,434.98,448,425,439.33,430.63,38376342
13911214,438.81,445,420,423.46,429.35,14286701
13911215,415.79,423,410,420.65,414.25,16292438
13911216,415.91,431,416,425.76,425.13,88363266
13911219,419.11,425,412,412.72,416.68,8160587
13911220,417.45,437,417,435.62,434.98,37402185
13911221,434.98,441,429,433.31,434.85,5638001
13911222,432.29,445,424,443.80,435.87,10352372
13911223,445.21,457,427,431.39,441.76,38459458
13911226,424.87,428,420,419.75,420.65,6590958
13911227,400.56,418,400,412.46,408.49,13424020
13911228,410.67,429,408,428.84,416.81,8980090
13920105,437.53,438,438,437.53,437.53,1675976
13920106,458.64,459,435,440.09,448.67,12973163
13920107,441.37,442,429,429.73,432.29,5734894
13920110,422.18,426,412,418.34,417.45,6567639
13920111,424.74,429,413,414.51,418.86,7800285
13920114,415.79,416,409,413.23,411.44,9524374
13920117,418.09,418,405,405.42,407.60,6372853
13920118,404.53,409,396,401.20,401.59,6360893
13920119,402.99,412,402,410.67,406.83,7456795
13920120,409.39,416,404,405.55,409.01,8945590
13920121,405.55,409,397,402.61,404.02,13969614
13920124,400.43,400,388,391.22,391.61,9058930
13920126,390.20,399,388,392.12,393.65,5589352
13920127,393.65,403,390,390.33,394.55,10614576
13920128,396.72,398,375,374.85,381.50,17233273
13920131,375.23,380,362,362.44,363.08,22754360
13920201,362.05,375,348,369.09,358.22,17157669
13920202,373.57,376,371,376.13,375.36,3643051
13920203,394.04,394,394,394.04,394.04,1938036
13920204,413.74,414,402,403.63,409.77,24888312
13920207,406.70,413,395,398.77,404.14,11498710
13920208,402.86,409,388,394.17,397.24,10155293
13920209,396.98,417,394,417.07,410.54,18151195
13920210,415.79,417,399,400.43,406.45,12147998
13920211,400.95,416,400,404.27,406.06,13980451
13920214,426.02,426,423,426.28,426.15,6278007
13920215,447.39,447,421,432.42,439.33,38307852
13920216,432.42,438,418,419.62,425.00,11393304
13920217,422.18,425,406,411.82,409.65,7669669
13920218,405.68,414,397,402.99,401.33,5508634
13920221,403.12,420,403,418.34,413.23,6972564
13920222,433.70,434,409,409.52,424.49,20358306
13920223,413.23,421,403,403.76,406.57,5661495
13920224,396.60,399,388,393.40,391.86,5925334
13920225,399.15,407,377,383.16,390.58,7373832
13920228,377.53,379,371,371.14,371.78,3013217
13920229,365.89,390,360,383.80,376.51,6415123
13920230,383.67,393,371,388.92,384.95,3252070
13920402,369.73,374,354,369.35,364.87,35610538
13920404,370.37,373,357,367.17,363.97,5658818
13920405,371.01,382,366,378.94,377.15,6381171
13920408,387.64,396,377,395.96,393.27,10597412
13920409,402.99,413,397,412.84,409.90,13566788
13920410,419.62,420,398,399.28,408.24,11390534
13920411,396.60,397,389,391.86,392.25,7647885
13920412,395.32,407,386,390.20,393.27,11277203
13920415,397.75,412,393,402.99,404.66,12932596
13920416,410.03,417,385,388.41,395.70,23957185
13920417,387.64,391,384,387.64,386.62,8442685
13920418,386.11,389,374,374.85,380.48,8595293
13920419,383.80,394,374,374.85,383.55,6378788
13920422,374.85,383,366,366.66,368.71,6054589
13920426,360.90,375,356,373.57,364.48,9897304
13920505,377.53,414,378,404.27,404.78,21978740
13920506,397.11,418,396,410.03,410.67,14077819
13920507,416.94,431,416,431.14,429.35,13947447
13920509,450.71,451,451,450.71,450.71,13209957
13920512,473.23,473,454,468.11,472.08,94389546
13920513,470.80,486,461,468.24,476.43,28993559
13920514,473.36,489,462,473.48,476.55,13313812
13920515,478.86,500,474,494.47,497.79,64073713
13920516,509.05,523,506,512.50,515.96,52191631
13920520,530.93,542,527,528.37,535.92,19081563
13920521,521.97,531,510,511.74,517.24,24793423
13920522,513.14,516,498,503.29,503.42,16165177
13920523,497.66,528,495,516.73,519.92,17796565
13920526,534.76,545,512,513.40,525.55,13105539
13920527,515.83,516,499,499.33,501.76,11723596
13920528,503.04,518,496,503.93,505.72,9937091
13920529,507.90,508,489,495.62,494.47,4390453
13920530,497.02,515,493,505.34,507.77,10403039
13920602,515.57,527,512,517.88,516.47,10117120
13920603,519.41,525,504,504.96,512.25,4423134
13920604,505.34,509,489,498.30,496.77,8766775
13920605,493.83,504,472,471.95,482.57,10455124
13920606,458.52,465,459,458.52,459.54,28676781
13920609,473.36,482,467,482.44,480.01,12823461
13920610,493.83,504,490,503.93,503.42,19079693
13920612,516.85,528,507,511.61,517.49,24894777
13920613,491.65,492,492,491.65,491.65,3861215
13920616,472.08,485,470,484.10,474.25,9162236
13920617,486.15,498,486,497.92,495.87,7314689
13920618,514.17,515,483,486.28,498.18,7570988
13920619,511.48,523,511,522.99,520.18,8922187
13920620,546.15,546,530,536.94,541.16,29180365
13920623,537.32,539,516,528.62,524.66,8714444
13920624,525.94,535,513,516.85,521.84,8576641
13920625,511.99,532,512,529.65,525.68,8676463
13920626,531.57,540,521,523.25,527.22,10466342
13920627,533.49,540,525,534.38,532.72,7773170
13920630,538.73,541,520,519.67,524.53,46087959
13920631,516.85,517,502,509.18,509.31,7033758
13920701,515.45,531,511,521.46,518.65,6542002
13920702,507.77,518,505,506.62,509.18,5462597
13920703,511.74,514,505,511.74,508.92,9434099
13920706,523.12,523,503,504.06,509.82,9871349
13920707,505.21,512,499,511.61,503.68,9013650
13920708,504.19,525,501,518.77,514.81,12871542
13920709,523.25,535,509,527.09,524.91,14255300
13920710,528.37,532,516,518.01,522.23,7816860
13920713,512.38,527,512,519.92,517.88,5022256
13920714,518.13,519,511,514.17,514.94,8254225
13920715,511.74,514,504,508.28,508.79,5183173
13920716,504.32,515,504,506.24,506.75,4219098
13920717,509.05,511,496,508.15,500.99,20056032
13920720,511.86,526,499,525.94,521.20,19513646
13920721,534.51,543,521,524.53,530.54,15083461
13920722,523.12,528,516,518.13,520.44,10979356
13920723,515.96,542,516,529.65,529.52,10230475
13920727,529.65,543,512,517.24,526.45,13352009
13920728,515.83,516,502,505.21,508.79,7782459
13920729,505.34,513,499,504.06,504.83,8601563
13920730,503.42,510,494,505.34,505.08,5023080
13920801,504.06,517,502,516.85,510.97,6464234
13920804,509.18,525,499,499.20,507.51,3973187
13920805,502.91,508,494,495.11,497.41,3672484
13920806,497.66,498,480,492.55,487.56,3761975
13920807,493.83,502,488,489.99,495.36,2487181
13920808,497.66,505,480,486.15,492.42,9059464
13920811,494.08,499,481,482.70,490.50,4884514
13920812,490.63,491,483,483.59,485.25,4497066
13920813,481.67,491,481,486.15,485.64,3484867
13920814,488.84,495,479,483.59,486.53,6154608
13920815,486.15,486,481,486.15,484.49,6038293
13920818,491.27,499,473,475.92,481.29,6415663
13920819,476.04,486,476,481.03,480.65,3172952
13920820,477.19,477,461,473.48,468.11,7546089
13920821,470.16,490,470,484.61,477.83,3876369
13920825,487.56,502,477,499.07,495.62,6987230
13920826,502.78,503,481,482.31,487.30,3898302
13920827,486.15,486,473,484.74,475.79,7507026
13920828,484.61,493,478,483.59,483.34,3964348
13920829,482.95,488,481,482.95,484.10,4200508
13920902,486.15,494,481,483.08,486.41,4301627
13920903,491.27,499,481,487.43,491.78,5700102
13920904,497.41,497,471,478.73,485.25,8821585
13920905,479.88,480,471,472.84,474.51,5116493
13920906,476.04,482,470,470.16,474.64,5800892
13920909,470.93,475,467,469.52,471.31,4360379
13920910,473.36,495,473,494.85,494.21,27806088
13920911,494.85,510,486,490.76,497.28,8548281
13920912,497.28,499,476,481.03,486.28,3519095
13920913,475.92,484,471,473.36,474.38,3555738
13920916,473.61,480,470,472.08,472.84,5914888
13920917,473.48,482,470,474.00,475.40,10626668
13920918,484.87,492,476,488.84,483.46,6686806
13920919,497.66,508,493,507.51,506.49,9466381
13920920,531.69,532,518,531.69,531.44,56122849
13920923,531.44,558,531,557.92,551.01,36128613
13920924,578.52,579,576,578.52,578.52,31043531
13920925,606.41,607,550,575.96,588.37,52027957
13920926,575.70,581,559,561.63,564.06,21994426
13920927,556.51,578,549,550.88,556.13,28078149
13920930,560.86,576,549,566.88,564.45,14776666
13921001,575.70,576,557,563.81,563.68,13734179
13921003,571.74,592,563,591.82,590.54,39354085
13921004,616.64,620,604,619.97,619.59,39132021
13921007,626.88,627,601,608.20,611.78,20408168
13921008,603.85,605,595,601.29,600.40,15534867
13921009,605.13,612,591,591.06,601.55,11104250
13921011,595.28,600,586,585.94,594.38,9217634
13921014,594.89,595,573,575.70,581.59,22060899
13921015,588.37,588,573,575.58,577.37,9505165
13921016,584.53,604,585,595.53,598.35,10948666
13921017,601.16,601,576,579.54,582.61,7317599
13921018,588.24,588,557,563.17,570.33,8723241
13921021,570.59,571,557,559.46,562.14,9176967
13921022,557.79,569,534,542.44,539.11,9848393
13921023,562.91,566,561,565.98,565.85,3256977
13921024,575.70,587,557,565.60,567.13,7554019
13921025,573.78,574,544,569.31,559.20,1993602
13921028,587.09,587,567,575.58,583.00,8088737
13921030,578.26,588,554,565.47,567.00,3491076
13921101,581.72,587,553,558.69,569.82,2462888
13921102,559.58,571,544,555.23,551.27,3023315
13921105,559.07,569,559,566.75,563.04,661133
13921106,550.24,563,535,534.89,537.07,2497324
13921107,515.96,532,510,528.37,511.86,7380521
13921108,527.09,537,527,537.45,536.68,3478532
13921109,553.96,563,549,563.42,557.79,2665589
13921112,575.58,586,573,585.68,584.92,5570254
13921113,586.58,590,563,579.54,578.65,5409629
13921114,574.42,587,558,581.46,573.27,2255450
13921115,581.97,582,568,573.15,573.78,2711029
13921116,553.96,574,545,545.13,547.43,2608448
13921119,530.03,537,520,523.25,522.74,3630474
13921120,518.13,543,518,537.32,536.17,1312048
13921121,542.44,554,511,511.74,519.67,2573186
13921123,499.46,512,494,493.70,494.21,1838948
13921126,483.72,519,484,514.30,511.35,1945519
13921127,527.22,537,527,536.81,534.51,753329
13921128,561.12,561,525,559.71,559.71,4332519
13921129,555.23,565,541,551.65,551.65,3324017
13921130,550.24,574,550,564.70,564.57,2446008
13921203,562.91,585,558,575.96,575.96,4840612
13921204,563.17,574,552,559.58,561.89,1530643
13921205,550.24,550,537,545.51,545.51,2830702
13921206,537.45,542,527,532.97,532.97,2229028
13921207,528.50,550,522,535.15,535.15,1527686
13921210,547.30,552,537,543.72,545.00,911279
13921211,537.32,537,525,528.88,528.88,888677
13921212,525.43,525,509,513.02,513.02,1083207
13921213,523.25,530,512,525.55,525.55,1388510
13921214,533.36,548,526,537.58,537.58,2211680
13921217,537.32,544,519,526.58,526.58,1124223
13921218,523.25,523,512,514.68,514.68,1296010
13921219,514.55,515,510,511.86,511.86,1433349
13921220,511.74,518,505,509.56,509.56,1305696
13921221,501.50,535,502,523.25,523.51,1859634
13921224,533.61,541,525,524.53,529.90,3145160
13921225,532.85,548,522,531.82,536.43,4506408
13921226,543.72,555,532,545.13,547.17,3759304
13921227,543.72,549,533,538.60,540.01,1792464
13921228,531.05,543,531,535.92,536.56,1667214
13930105,532.33,543,525,524.53,533.87,713679
13930106,538.60,539,524,524.91,527.47,523538
13930109,524.91,525,520,524.53,521.20,457478
13930110,536.17,536,526,530.93,530.29,535183
13930111,534.13,536,519,530.93,525.17,3377097
13930116,524.53,533,512,528.24,522.23,1323156
13930117,520.69,522,512,513.91,516.98,1931549
13930118,511.74,518,502,505.47,510.20,3390037
13930119,502.91,521,503,505.34,508.79,1972524
13930120,511.74,512,500,510.33,504.44,952097
13930123,511.74,518,505,511.74,511.10,1475007
13930124,511.61,513,489,498.94,499.58,2819463
13930125,496.38,499,481,488.71,489.09,2920732
13930126,492.55,514,486,513.53,508.03,2921723
13930127,522.99,524,510,510.33,513.66,2124527
13930130,511.74,512,493,494.34,498.43,944216
13930131,511.99,518,505,511.74,511.48,1942556
13930201,510.59,537,509,536.94,527.73,7646797
13930202,537.32,553,519,519.41,536.68,3974066
13930203,533.23,537,522,534.64,534.51,3598053
13930206,535.15,561,535,561.12,557.03,8025285
13930207,561.63,562,540,541.29,552.68,5046219
13930208,547.17,557,531,546.41,547.94,3978155
13930209,551.14,551,525,528.88,540.39,2846924
13930210,528.24,548,528,539.88,540.91,1629054
13930213,539.88,544,532,533.61,536.04,1404608
13930214,537.20,540,522,532.46,532.08,2692953
13930215,537.20,544,521,533.49,535.79,1938655
13930216,537.20,539,530,535.66,535.15,1866178
13930217,543.34,543,528,530.80,532.46,2382943
13930220,536.04,536,525,528.37,531.69,2227040
13930221,525.94,533,525,529.26,529.78,1194698
13930222,530.93,531,514,524.53,522.99,2618377
13930224,518.13,527,516,524.40,523.25,2652794
13930227,515.57,518,500,500.22,510.71,2503754
13930228,511.74,522,507,508.41,514.55,2232392
13930229,506.88,514,505,505.34,509.82,2781035
13930230,510.46,514,507,511.74,510.97,2325249
13930231,518.01,521,510,520.69,516.47,5852870
13930303,521.97,523,507,507.00,511.61,1277203
13930304,505.72,512,502,504.32,509.82,2176405
13930305,505.21,513,502,503.17,507.64,1593981
13930307,507.90,508,495,503.42,501.50,1268907
13930310,498.94,500,493,497.66,498.30,1832054
13930311,497.66,498,473,482.18,479.75,4805126
13930312,483.59,494,476,492.55,487.05,1455729
13930313,482.70,503,483,501.50,495.74,1300706
13930317,503.93,504,493,492.55,494.85,830394
13930318,488.84,499,489,495.11,496.26,1523371
13930319,487.43,495,486,495.11,487.94,779625
13930320,486.15,499,482,484.87,492.80,1728263
13930321,486.15,488,474,474.12,479.75,1050671
13930324,473.61,474,456,455.83,456.98,1801328
13930325,443.93,455,435,451.61,439.58,1991922
13930326,447.77,461,448,461.46,459.54,1319087
13930327,461.84,468,445,445.98,455.32,280860
13930328,455.45,461,442,453.01,453.53,664044
13930331,450.33,461,444,445.98,454.04,1491360
13930401,455.45,458,442,442.65,449.82,816465
13930402,451.61,452,437,437.53,439.33,371600
13930403,436.77,439,418,419.37,422.69,1709722
13930404,419.37,428,402,406.83,407.73,2037301
13930407,407.73,408,387,387.38,390.07,1200633
13930408,382.27,382,371,370.63,371.52,897700
13930409,358.34,377,353,365.25,356.81,2587749
13930410,367.04,375,358,374.59,372.03,770980
13930411,390.58,391,391,390.58,390.58,105033
13930414,410.03,410,410,410.03,410.03,277246
13930415,430.50,430,403,414.51,422.18,5110329
13930416,409.39,430,402,409.39,417.32,1823274
13930417,411.95,438,412,438.17,436.51,2526427
13930418,435.10,439,422,423.08,430.37,1729904
13930421,428.45,434,411,418.60,423.08,1581536
13930422,411.31,422,402,406.83,403.89,2368963
13930423,386.36,424,386,405.04,416.94,4696199
13930431,430.50,441,418,428.32,421.93,1319631
13930501,422.18,422,409,411.95,420.78,1071302
13930504,418.34,418,401,408.88,417.19,928716
13930505,410.67,416,404,410.80,407.73,1693293
13930506,405.68,416,403,409.77,409.26,956929
13930511,408.24,415,390,390.20,399.92,917712
13930512,394.04,399,388,388.79,390.97,591277
13930513,393.65,401,391,394.04,394.29,759373
13930514,387.64,390,381,387.90,385.72,1861782
13930515,383.80,391,377,391.35,385.47,633762
13930518,389.05,394,384,392.76,390.20,440276
13930519,393.65,394,375,377.41,380.86,720320
13930520,383.93,391,384,390.46,389.69,614910
13930521,386.36,388,383,386.36,385.85,532108
13930522,377.92,389,378,383.67,383.55,750986
13930525,383.80,385,381,383.80,382.91,363052
13930526,377.41,384,377,383.80,383.29,816046
13930527,387.64,388,379,383.67,383.03,408460
13930528,383.80,389,377,388.79,383.67,1038461
13930529,382.65,393,383,384.31,388.02,646524
13930601,390.07,390,381,381.24,384.19,893202
13930602,383.80,384,377,377.41,378.94,498780
13930603,377.41,381,376,379.07,377.92,252455
13930604,372.67,378,373,374.85,376.64,841084
13930605,373.57,374,366,369.86,370.11,1464527
13930608,359.75,373,360,364.36,365.76,808190
13930609,364.61,370,360,366.02,365.25,1253658
13930610,368.45,368,358,361.67,360.65,491380
13930611,365.38,365,356,355.66,360.01,830828
13930612,358.22,362,353,353.10,355.91,1019318
13930615,357.96,374,358,373.70,372.67,5698636
13930616,367.17,377,358,365.89,368.19,965162
13930617,372.93,377,358,362.05,368.45,1326358
13930618,362.18,371,359,360.77,370.24,18631361
13930619,359.62,363,353,358.09,357.45,1775414
13930622,356.94,358,340,344.27,346.19,808497
13930623,347.85,348,334,339.03,338.77,731846
13930624,335.19,345,335,339.67,341.71,872022
13930625,336.59,337,331,336.34,334.29,1267691
13930626,334.29,339,326,326.23,328.28,1481366
13930629,328.28,336,328,332.37,331.73,443653
13930630,335.19,337,326,329.17,331.86,1612728
13930631,332.63,333,326,328.92,327.90,1337600
13930701,332.63,333,327,327.26,328.54,523091
13930702,332.50,339,329,332.63,332.88,1336909
13930705,333.91,334,323,327.51,326.36,426299
13930706,325.08,333,324,333.01,330.33,816674
13930707,330.33,347,330,346.83,344.27,4913274
13930708,350.03,359,340,346.70,349.39,1666105
13930709,349.13,349,339,342.22,342.61,563062
13930712,347.98,348,342,342.86,344.27,584815
13930714,342.86,344,336,338.90,340.69,515367
13930715,341.33,343,328,331.99,331.35,2307571
13930716,327.64,333,328,330.33,329.56,953693
13930719,332.37,336,328,335.96,333.01,1151846
13930720,336.59,340,333,333.27,334.16,839144
13930722,332.76,338,333,336.47,336.47,944428
13930723,335.32,335,333,333.91,334.04,990838
13930726,333.14,337,333,333.91,334.55,941541
13930727,333.91,351,334,351.18,349.00,2984628
13930728,366.15,366,357,366.40,366.28,8145118
13930729,369.73,381,366,371.65,372.42,2923366
13930730,364.61,365,354,357.32,358.86,2545431
13930803,350.67,361,347,351.31,354.51,1098318
13930804,348.49,357,348,356.17,353.99,888425
13930805,354.38,370,354,363.33,363.33,1240012
13930806,357.19,365,348,351.56,352.71,977634
13930807,347.98,361,346,360.01,357.32,1160817
13930810,358.22,375,358,371.01,373.06,6277216
13930811,377.79,392,366,391.61,386.75,6854596
13930814,383.93,394,384,390.20,389.18,2377927
13930817,394.80,395,371,373.57,377.79,3530290
13930818,372.29,375,370,372.93,372.42,857160
13930819,372.80,385,373,379.96,381.37,2188228
